,확인용,적요,적요일련번호,금융회사,입출금구분,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,거래코드,분류,분류번호,최소금액,최대금액,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
62558,42355,계단청소,14173,우리은행,출금,우리은행,F020,직접입력,,,요구불간계좌이체,세금/공과금,EB01,0,0,,,,,,계단청소,4,소청단계
56478,45578,국민계단청소,16977,,출금,우리은행,F020,직접입력,,,전자뱅킹예약건별이체,세금/공과금,EB01,80000,80000,,,,,,국민계단청소,6,소청단계민국
56874,46593,국민청소,17860,,출금,우리은행,F020,직접입력,,,전자뱅킹예약건별이체,세금/공과금,EB01,1000000,1000000,,,,,,국민청소,4,소청민국
64291,63480,반짝반짝청소,32383,우리은행,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,전문서비스,EC02,88000,132000,,,,,,반짝반짝청소,6,소청짝반짝반
61754,14449,체크카드취소,10036,우리은행,입금,우리은행,F020,자동입력,,,펌뱅킹 입금이체,환급/환불,DC09,0,4000000,,,,,,체크카드취소,6,소취드카크체
65165,68509,센터컷개별취소,36899,우리은행,출금,우리은행,F020,자동입력,,,수신입금예약,저축/투자,EA04,0,0,,,,,,센터컷개별취소,7,소취별개컷터센
61331,11777,오토서비스취소,8162,우리은행,입금,우리은행,F020,자동입력,,,펌뱅킹 입금이체,환급/환불,DC09,0,47000,,,,,,오토서비스취소,7,소취스비서토오
62041,16532,해외체크취소,11457,우리은행,입금,우리은행,F020,자동입력,,,펌뱅킹 입금이체,환급/환불,DC09,0,15896000,,,,,,해외체크취소,6,소취크체외해
60986,9256,상환취소,6189,우리은행,입금,우리은행,F020,자동입력,,,여신이자수입,환급/환불,DC09,0,0,,,,,,상환취소,4,소취환상
46932,15366,품질시험소,10660,,입금,우리은행,F020,회사명,,,지로대량급여 입금이체,회사입금,DC02,0,2540000,,,,,,품질시험소,5,소험시질품
52394,60136,마석보호소,29620,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,기부,EI01,0,0,,,,,,마석보호소,5,소호보석마
51921,53585,남양주보호소,23602,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,기부,EI01,10000,10000,,,,,,남양주보호소,6,소호보주양남
44546,7216,동양고속,4932,,입금,우리은행,F020,회사명,,,펌뱅킹 입금이체,회사입금,DC02,512000,946000,,,,,,동양고속,4,속고양동
48612,59401,동서울고속,28957,,출금,우리은행,F020,회사명,,,펌뱅킹 출금이체,회사출금,EI05,100000,100000,,,,,,동서울고속,5,속고울서동
7011,14551,춘천성심장기근속,10074,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,158000,1973000,,,,,,춘천성심장기근속,8,속근기장심성천춘
6766,13288,전자장기근속,9116,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,0,2802000,,,,,,전자장기근속,6,속근기장자전
63873,59896,롯손,29414,우리은행,출금,우리은행,F020,자동입력,,,CMS공동망 당일출금이체-전자금융팀,보험료,EA01,0,3000000,,,,,,롯손,2,손롯
63874,59897,롯손,29415,우리은행,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,보험료,EA01,0,3000000,,,,,,롯손,2,손롯
60451,3798,공경효자손,2228,우리은행,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,기타입금,DC11,0,0,,,,,,공경효자손,5,손자효경공
63214,58213,다솔,27872,우리은행,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,기타출금,EH04,10000,20000,,,,,,다솔,2,솔다
52163,58542,대구경북대이솔,28173,,출금,우리은행,F020,직접입력,,,전자뱅킹예약건별이체,기부,EI01,39000,39000,,,,,,대구경북대이솔,7,솔이대북경구대
58814,57517,농협영농조합법인한솔,27257,,출금,우리은행,F020,직접입력,,,전자뱅킹예약건별이체,회비,EB07,516000,516000,,,,,,농협영농조합법인한솔,10,솔한인법합조농영협농
52297,59348,동물보호다솜,28910,,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,기부,EI01,10000,50000,,,,,,동물보호다솜,6,솜다호보물동
52715,65090,불교대구ＦＭ방송,33757,,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,기부,EI01,10000,10000,,,,,,불교대구ＦＭ방송,8,송방ＭＦ구대교불
51764,48313,기독교방송,19367,,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,기부,EI01,0,120000,,,,,,기독교방송,5,송방교독기
52654,64904,부산불교방송,33579,,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,기부,EI01,10000,10000,,,,,,부산불교방송,6,송방교불산부
62225,39773,HCN새로넷방송,12754,우리은행,출금,우리은행,F020,자동입력,,,지로 출금이체,구독서비스,EC01,0,140000,,,,,,HCN새로넷방송,8,송방넷로새NCH
62220,39768,HCN경북방송,12749,우리은행,출금,우리은행,F020,자동입력,,,지로 출금이체,구독서비스,EC01,0,90000,,,,,,HCN경북방송,7,송방북경NCH
51771,48321,기독교전북방송,19374,,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,기부,EI01,10000,10000,,,,,,기독교전북방송,7,송방북전교독기
62227,39775,HCN충북방송,12756,우리은행,출금,우리은행,F020,자동입력,,,지로 출금이체,구독서비스,EC01,0,124000,,,,,,HCN충북방송,7,송방북충NCH
62224,39772,HCN부산방송,12753,우리은행,출금,우리은행,F020,자동입력,,,지로 출금이체,구독서비스,EC01,0,105000,,,,,,HCN부산방송,7,송방산부NCH
51766,48315,기독교부산방송,19369,,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,기부,EI01,20000,20000,,,,,,기독교부산방송,7,송방산부교독기
52175,58580,대구수성방송,28211,,출금,우리은행,F020,자동입력,,,지로 출금이체,기부,EI01,0,8000,,,,,,대구수성방송,6,송방성수구대
62221,39769,HCN관악방송,12750,우리은행,출금,우리은행,F020,자동입력,,,지로 출금이체,구독서비스,EC01,0,231000,,,,,,HCN관악방송,7,송방악관NCH
44152,4509,국악방송,2848,,입금,우리은행,F020,회사명,,,인터넷뱅킹 대량이체,회사입금,DC02,0,269000,,,,,,국악방송,4,송방악국
51952,53982,노원방송,23965,,출금,우리은행,F020,자동입력,,,지로 출금이체,기부,EI01,0,246000,,,,,,노원방송,4,송방원노
62223,39771,HCN동작방송,12752,우리은행,출금,우리은행,F020,자동입력,,,지로 출금이체,구독서비스,EC01,0,366000,,,,,,HCN동작방송,7,송방작동NCH
62226,39774,HCN서초방송,12755,우리은행,출금,우리은행,F020,자동입력,,,지로 출금이체,구독서비스,EC01,0,184000,,,,,,HCN서초방송,7,송방초서NCH
64827,66215,서귀포방송,34753,우리은행,출금,우리은행,F020,자동입력,,,펌뱅킹 출금이체,구독서비스,EC01,0,0,,,,,,서귀포방송,5,송방포귀서
62222,39770,HCN금호방송,12751,우리은행,출금,우리은행,F020,자동입력,,,지로 출금이체,구독서비스,EC01,0,45000,,,,,,HCN금호방송,7,송방호금NCH
52214,58818,대전교구평화방송,28428,,출금,우리은행,F020,자동입력,,,CMS공동망 출금이체,기부,EI01,0,20000,,,,,,대전교구평화방송,8,송방화평구교전대
