,확인용,적요,적요일련번호,금융회사,입출금구분,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,거래코드,분류,분류번호,최소금액,최대금액,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
4866,5074,급여위메이드,3243,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,24035000,,,,,,급여위메이드,6,드이메위여급
4868,5075,급여위메이드엑스알,3244,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,4265000,4265000,,,,,,급여위메이드엑스알,9,알스엑드이메위여급
4870,5076,급여위메이드엠,3245,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,5356000,5362000,,,,,,급여위메이드엠,7,엠드이메위여급
4872,5078,급여위티아폴란드,3246,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,0,,,,,,급여위티아폴란드,8,드란폴아티위여급
4880,5082,급여인상　소급분,3250,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,261000,2500000,,,,,,급여인상　소급분,7,분급소　상인여급
4882,5083,급여인상차액,3251,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,833000,1000000,,,,,,급여인상차액,6,액차상인여급
4884,5084,급여인천적십자병원,3252,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,8202000,,,,,,급여인천적십자병원,9,원병자십적천인여급
4886,5085,급여인터비즈,3253,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,3812000,,,,,,급여인터비즈,6,즈비터인여급
4888,5086,급여인트라락,3254,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,2040000,,,,,,급여인트라락,6,락라트인여급
4890,5087,급여일괄송금,3255,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,4130000,4130000,,,,,,급여일괄송금,6,금송괄일여급
4900,5092,급여재단법인굿네이버,3260,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2627000,2627000,,,,,,급여재단법인굿네이버,10,버이네굿인법단재여급
4902,5093,급여적십자교육원,3261,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1838000,2979000,,,,,,급여적십자교육원,8,원육교자십적여급
4904,5094,급여적십자서울지사,3262,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,1682000,,,,,,급여적십자서울지사,9,사지울서자십적여급
4906,5095,급여전기공사공제조합,3263,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,8836000,,,,,,급여전기공사공제조합,10,합조제공사공기전여급
4908,5096,급여전북청,3264,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,0,4097000,,,,,,급여전북청,5,청북전여급
4910,5097,급여정성한방병원,3265,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,2998000,2998000,,,,,,급여정성한방병원,8,원병방한성정여급
4912,5099,급여제수당,3266,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,400000,,,,,,급여제수당,5,당수제여급
4914,5100,급여조선선재,3267,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1000,2841000,,,,,,급여조선선재,6,재선선조여급
4916,5101,급여조선선재온산,3268,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,3379000,3379000,,,,,,급여조선선재온산,8,산온재선선조여급
4918,5102,급여조선온산,3269,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,3100000,3635000,,,,,,급여조선온산,6,산온선조여급
4920,5103,급여조은유치원,3270,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,1617000,2404000,,,,,,급여조은유치원,7,원치유은조여급
4922,5104,급여주식회사 데이원,3271,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,2720000,,,,,,급여주식회사 데이원,9,원이데 사회식주여급
4924,5105,급여주유라이텍,3272,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,3085000,3085000,,,,,,급여주유라이텍,7,텍이라유주여급
4926,5107,급여중부지방세무사회,3273,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,2791000,,,,,,급여중부지방세무사회,10,회사무세방지부중여급
4928,5108,급여중앙대병원,3274,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,8160000,,,,,,급여중앙대병원,7,원병대앙중여급
4932,5110,급여지에스이앤알,3276,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,50000,7824000,,,,,,급여지에스이앤알,8,알앤이스에지여급
4934,5111,급여천주교서울대교구,3277,,입금,우리은행,F020,자동입력,,,전자뱅킹예약건별이체,급여,DA01,2891000,2891000,,,,,,급여천주교서울대교구,10,구교대울서교주천여급
4936,5113,급여청진자동차정비,3278,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,0,,,,,,급여청진자동차정비,9,비정차동자진청여급
4938,5114,급여충남청,3279,,입금,우리은행,F020,자동입력,,,지로대량급여 입금이체,급여,DA01,1958000,4263000,,,,,,급여충남청,5,청남충여급
4940,5115,급여케이티시즌,3280,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,4177000,11345000,,,,,,급여케이티시즌,7,즌시티이케여급
4942,5117,급여코디서비스,3281,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,0,11642000,,,,,,급여코디서비스,7,스비서디코여급
4944,5118,급여클리어존대한체육,3282,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,0,0,,,,,,급여클리어존대한체육,10,육체한대존어리클여급
4946,5121,급여태민건설,3283,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,2524000,2524000,,,,,,급여태민건설,6,설건민태여급
4948,5122,급여테크웨이즈,3284,,입금,우리은행,F020,자동입력,,,인터넷뱅킹 대량이체,급여,DA01,3494000,3613000,,,,,,급여테크웨이즈,7,즈이웨크테여급
4950,5123,급여템퍼코리아,3285,,입금,우리은행,F020,자동입력,,,급여 입금이체,급여,DA01,2110000,2110000,,,,,,급여템퍼코리아,7,아리코퍼템여급
