index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
3358,3358,입금,인터넷뱅킹 대량이체,㈜ＴＫＣＫＴＲＯＮ　, - , - ,입금이체,회사입금,,,,,,,,,,,,,,㈜ＴＫＣＫＴＲＯＮ0,10,0ＮＯＲＴＫＣＫＴ㈜
3359,3359,입금,인터넷뱅킹 대량이체,㈜ＴＫＣＮａＩＯ 외,"829,000","829,000",입금이체,회사입금,,,,,,,,,,,,,,㈜ＴＫＣＮａＩＯ0외,10,외0ＯＩａＮＣＫＴ㈜
13653,13653,입금,인터넷뱅킹 대량이체,주식회사  교시,"394,000","394,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사00교시,8,시교00사회식주
13654,13654,입금,인터넷뱅킹 대량이체,주식회사 광신로지텍, - ,"2,926,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0광신로지텍,10,텍지로신광0사회식주
13655,13655,입금,인터넷뱅킹 대량이체,주식회사 기반이엔씨,"2,556,000","2,556,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0기반이엔씨,10,씨엔이반기0사회식주
13656,13656,입금,인터넷뱅킹 대량이체,주식회사 길(Gil corp,"523,000","1,334,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0길(Gil0corp,15,proc0liG(길0사회식주
13657,13657,입금,인터넷뱅킹 대량이체,주식회사 놈스, - ,"158,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0놈스,7,스놈0사회식주
13658,13658,입금,인터넷뱅킹 대량이체,주식회사 대명플랜,"29,000","29,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0대명플랜,9,랜플명대0사회식주
13659,13659,입금,인터넷뱅킹 대량이체,주식회사 데이원컴퍼, - ,"164,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0데이원컴퍼,10,퍼컴원이데0사회식주
13660,13660,입금,인터넷뱅킹 대량이체,주식회사 디웨이브, - ,"2,005,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0디웨이브,9,브이웨디0사회식주
13661,13661,입금,급여 입금이체,주식회사 디유넷,"2,546,000","5,481,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0디유넷,8,넷유디0사회식주
13662,13662,입금,급여 입금이체,주식회사 리더스코스,"3,311,000","3,407,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0리더스코스,10,스코스더리0사회식주
13663,13663,입금,인터넷뱅킹 대량이체,주식회사 리치마켓,"111,000","111,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0리치마켓,9,켓마치리0사회식주
13664,13664,입금,인터넷뱅킹 대량이체,주식회사 메디랩스,"46,000","46,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0메디랩스,9,스랩디메0사회식주
13665,13665,입금,인터넷뱅킹 대량이체,주식회사 발렉스서비,"100,000","100,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0발렉스서비,10,비서스렉발0사회식주
13666,13666,입금,인터넷뱅킹 대량이체,주식회사 백경그룹,"242,000","242,000",입금이체,회사입금,,,,,,,,,,,,,,주식회사0백경그룹,9,룹그경백0사회식주
