index,확인용,입출금구분,거래코드,적요,최소금액,최대금액,대분류,분류,적요일련번호,금융회사,데이터셋출처,출처번호,적요구조,적요구조일련번호,적요 설명,분류번호,단어,단어일련번호,단어의미,개체명,완료여부,적요_pre,적요길이,적요반대_pre
65766,65766,지급,전자뱅킹예약건별이체,삼성남승욱,"34,000","34,000",개인거래,개인간거래,,,,,,,,,,,,,,삼성남승욱,5,욱승남성삼
65767,65767,지급,펌뱅킹 출금이체,삼성농아원,"5,000","5,000",기타,기부,,,,,,,,,,,,,,삼성농아원,5,원아농성삼
65778,65778,지급,요구불간계좌이체,"삼성생명,", - , - ,금융,보험료,,,,,,,,,,,,,,"삼성생명,",5,",명생성삼"
65851,65851,지급,펌뱅킹 출금이체,삼성태권도,"55,000","130,000",교육,교육비,,,,,,,,,,,,,,삼성태권도,5,도권태성삼
65855,65855,지급,펌뱅킹 출금이체,삼성프라자,"55,000","90,000",기타,회사출금,,,,,,,,,,,,,,삼성프라자,5,자라프성삼
65861,65861,지급,CMS공동망 출금이체,삼성화재   건, - ,"1,538,000",금융,보험료,,,,,,,,,,,,,,삼성화재000건,5,건000재화성삼
65885,65885,지급,펌뱅킹 출금이체,삼운사유치,"279,000","279,000",교육,유아교육,,,,,,,,,,,,,,삼운사유치,5,치유사운삼
65896,65896,지급,CMS공동망 출금이체,삼육상조   회, - ,"30,000",금융,보험료,,,,,,,,,,,,,,삼육상조000회,5,회000조상육삼
65897,65897,지급,CMS공동망 출금이체,삼육상조  회, - ,"38,000",금융,보험료,,,,,,,,,,,,,,삼육상조00회,5,회00조상육삼
65898,65898,지급,CMS공동망 출금이체,삼육상조 회,"18,000","18,000",금융,보험료,,,,,,,,,,,,,,삼육상조0회,5,회0조상육삼
65901,65901,지급,펌뱅킹 출금이체,삼육요양원,"2,000","2,000",주거/생활,의료비,,,,,,,,,,,,,,삼육요양원,5,원양요육삼
65912,65912,지급,펌뱅킹 출금이체,삼정아쿠아,"13,000","24,000",기타,회사출금,,,,,,,,,,,,,,삼정아쿠아,5,아쿠아정삼
65942,65942,지급,펌뱅킹 출금이체,상도정수기,"48,000","48,000",서비스이용,렌탈,,,,,,,,,,,,,,상도정수기,5,기수정도상
65953,65953,지급,CMS공동망 출금이체,상문고명찰,"6,000","6,000",교육,교육비,,,,,,,,,,,,,,상문고명찰,5,찰명고문상
65955,65955,지급,펌뱅킹 출금이체,상상오피스,"40,000","40,000",기타,공간임대,,,,,,,,,,,,,,상상오피스,5,스피오상상
65975,65975,지급,CMS공동망 출금이체,상일급식  월, - , - ,교육,교육비,,,,,,,,,,,,,,상일급식00월,5,월00식급일상
65981,65981,지급,펌뱅킹 출금이체,상지건기주,"39,000","44,000",개인거래,기타출금,,,,,,,,,,,,,,상지건기주,5,주기건지상
65982,65982,지급,펌뱅킹 출금이체,상지원회계,"110,000","110,000",서비스이용,전문서비스,,,,,,,,,,,,,,상지원회계,5,계회원지상
66003,66003,지급,CMS공동망 출금이체,새날복지회,"10,000","10,000",기타,기부,,,,,,,,,,,,,,새날복지회,5,회지복날새
66004,66004,지급,펌뱅킹 출금이체,새날을여는, - , - ,기타,기부,,,,,,,,,,,,,,새날을여는,5,는여을날새
66005,66005,지급,펌뱅킹 출금이체,새내기계란, - ,"54,000",개인거래,기타출금,,,,,,,,,,,,,,새내기계란,5,란계기내새
66014,66014,지급,펌뱅킹 출금이체,새들원후원, - , - ,기타,기부,,,,,,,,,,,,,,새들원후원,5,원후원들새
66019,66019,지급,CMS공동망 출금이체,새로운한국,"5,000","10,000",기타,기부,,,,,,,,,,,,,,새로운한국,5,국한운로새
66032,66032,지급,CMS공동망 출금이체,새말새몸짓, - ,"50,000",기타,기부,,,,,,,,,,,,,,새말새몸짓,5,짓몸새말새
66051,66051,지급,펌뱅킹 출금이체,새사회일다,"5,000","5,000",개인거래,기타출금,,,,,,,,,,,,,,새사회일다,5,다일회사새
66054,66054,지급,펌뱅킹 출금이체,새생명의샘,"19,000","19,000",기타,기부,,,,,,,,,,,,,,새생명의샘,5,샘의명생새
66059,66059,지급,펌뱅킹 출금이체,새시대전산, - , - ,서비스이용,렌탈,,,,,,,,,,,,,,새시대전산,5,산전대시새
66068,66068,지급,펌뱅킹 출금이체,새암아쿠아,"10,000","13,000",기타,회사출금,,,,,,,,,,,,,,새암아쿠아,5,아쿠아암새
66072,66072,지급,펌뱅킹 출금이체,새오름포럼,"10,000","10,000",주거/생활,회비,,,,,,,,,,,,,,새오름포럼,5,럼포름오새
66076,66076,지급,펌뱅킹 출금이체,새인예유치, - , - ,교육,유아교육,,,,,,,,,,,,,,새인예유치,5,치유예인새
66077,66077,지급,CMS공동망 출금이체,새인천조합, - ,"30,000",주거/생활,회비,,,,,,,,,,,,,,새인천조합,5,합조천인새
66081,66081,지급,펌뱅킹 출금이체,새한아쿠아,"10,000","10,000",기타,회사출금,,,,,,,,,,,,,,새한아쿠아,5,아쿠아한새
66082,66082,지급,CMS공동망 출금이체,새한에리트,"10,000","20,000",서비스이용,렌탈,,,,,,,,,,,,,,새한에리트,5,트리에한새
66084,66084,지급,CMS공동망 출금이체,새한정수기, - ,"10,000",서비스이용,렌탈,,,,,,,,,,,,,,새한정수기,5,기수정한새
66085,66085,지급,펌뱅킹 출금이체,새한정수기, - ,"10,000",서비스이용,렌탈,,,,,,,,,,,,,,새한정수기,5,기수정한새
66087,66087,지급,펌뱅킹 출금이체,새희망둥지,"50,000","50,000",기타,기부,,,,,,,,,,,,,,새희망둥지,5,지둥망희새
66088,66088,지급,펌뱅킹 출금이체,새희망포럼, - , - ,주거/생활,회비,,,,,,,,,,,,,,새희망포럼,5,럼포망희새
66100,66100,지급,CMS공동망 출금이체,샘솟는기쁨,"5,000","10,000",기타,기부,,,,,,,,,,,,,,샘솟는기쁨,5,쁨기는솟샘
66123,66123,지급,CMS공동망 출금이체,생명의전화,"10,000","10,000",기타,기부,,,,,,,,,,,,,,생명의전화,5,화전의명생
66130,66130,지급,펌뱅킹 출금이체,생생아쿠아, - ,"25,000",서비스이용,전문서비스,,,,,,,,,,,,,,생생아쿠아,5,아쿠아생생
66132,66132,지급,펌뱅킹 출금이체,생수월정액,"18,000","18,000",서비스이용,구독서비스,,,,,,,,,,,,,,생수월정액,5,액정월수생
66145,66145,지급,요구불간계좌이체,생활비(혜서), - , - ,개인거래,기타출금,,,,,,,,,,,,,,생활비혜서,5,서혜비활생
66146,66146,지급,요구불간계좌이체,생활비이체, - , - ,개인거래,기타출금,,,,,,,,,,,,,,생활비이체,5,체이비활생
66155,66155,지급,펌뱅킹 출금이체,샬롬원후원,"5,000","5,000",기타,기부,,,,,,,,,,,,,,샬롬원후원,5,원후원롬샬
66157,66157,지급,펌뱅킹 출금이체,샬롬컴퓨터, - ,"44,000",기타,회사출금,,,,,,,,,,,,,,샬롬컴퓨터,5,터퓨컴롬샬
66192,66192,지급,CMS공동망 출금이체,서고 월석식,"69,000","69,000",교육,교육비,,,,,,,,,,,,,,서고0월석식,5,식석월0고서
66193,66193,지급,CMS공동망 출금이체,서고 차방과,"73,000","73,000",교육,교육비,,,,,,,,,,,,,,서고0차방과,5,과방차0고서
66199,66199,지급,펌뱅킹 출금이체,서광제빙기,"44,000","44,000",서비스이용,전문서비스,,,,,,,,,,,,,,서광제빙기,5,기빙제광서
66212,66212,지급,펌뱅킹 출금이체,서귀포가스,"13,000","44,000",주거/생활,세금/공과금,,,,,,,,,,,,,,서귀포가스,5,스가포귀서
66215,66215,지급,펌뱅킹 출금이체,서귀포방송, - , - ,서비스이용,구독서비스,,,,,,,,,,,,,,서귀포방송,5,송방포귀서
66233,66233,지급,펌뱅킹 출금이체,서대문푸드,"5,000","5,000",기타,회사출금,,,,,,,,,,,,,,서대문푸드,5,드푸문대서
66235,66235,지급,펌뱅킹 출금이체,서대문ＦＭ, - ,"10,000",서비스이용,구독서비스,,,,,,,,,,,,,,서대문ＦＭ,5,ＭＦ문대서
66262,66262,지급,CMS공동망 출금이체,서두레조합,"30,000","30,000",주거/생활,회비,,,,,,,,,,,,,,서두레조합,5,합조레두서
66263,66263,지급,CMS공동망 출금이체,서두레합창, - ,"10,000",주거/생활,회비,,,,,,,,,,,,,,서두레합창,5,창합레두서
66330,66330,지급,펌뱅킹 출금이체,서보한마음,"86,000","86,000",기타,회사출금,,,,,,,,,,,,,,서보한마음,5,음마한보서
66343,66343,지급,펌뱅킹 출금이체,서산시지부,"10,000","10,000",주거/생활,회비,,,,,,,,,,,,,,서산시지부,5,부지시산서
66356,66356,지급,CMS공동망 출금이체,서서울 우유,"8,000","8,000",서비스이용,구독서비스,,,,,,,,,,,,,,서서울0우유,5,유우0울서서
66359,66359,지급,CMS공동망 출금이체,서서울하복, - , - ,교육,교육비,,,,,,,,,,,,,,서서울하복,5,복하울서서
66361,66361,지급,전자뱅킹예약건별이체,서선(성남시),"41,000","41,000",주거/생활,세금/공과금,,,,,,,,,,,,,,서선성남시,5,시남성선서
66412,66412,지급,펌뱅킹 출금이체,서안산우유,"40,000","48,000",서비스이용,구독서비스,,,,,,,,,,,,,,서안산우유,5,유우산안서
66480,66480,지급,지로 출금이체,서울(면허세),"18,000","67,000",주거/생활,세금/공과금,,,,,,,,,,,,,,서울면허세,5,세허면울서
66518,66518,지급,펌뱅킹 출금이체,서울민예총,"10,000","10,000",주거/생활,회비,,,,,,,,,,,,,,서울민예총,5,총예민울서
66520,66520,지급,펌뱅킹 출금이체,서울보청기,"30,000","30,000",서비스이용,렌탈,,,,,,,,,,,,,,서울보청기,5,기청보울서
66525,66525,지급,전자뱅킹예약건별이체,서울상수도,"2,000","34,000",주거/생활,세금/공과금,,,,,,,,,,,,,,서울상수도,5,도수상울서
66542,66542,지급,펌뱅킹 출금이체,서울시립대,"10,000","200,000",기타,기부,,,,,,,,,,,,,,서울시립대,5,대립시울서
66554,66554,지급,펌뱅킹 출금이체,서울여성회,"10,000","10,000",주거/생활,회비,,,,,,,,,,,,,,서울여성회,5,회성여울서
